Weeks in office,Biden,Bush,Clinton,Obama,Trump
148,-14.8571428571429,18,4.7,-6.32857142857143,-9.02857142857143
149,-15.2,19.2,4.6,-7.97142857142857,-9.5
150,-16.3714285714286,20.4,4.5,-7.18571428571428,-9.02857142857143
151,-16.1,18.4,4.4,-3.74285714285714,-8.62857142857143
152,-15.3428571428571,16.5333333333333,5.06666666666667,-1.92857142857143,-7.42857142857143
153,-15.5714285714286,14.6666666666667,5.73333333333333,-1.28571428571429,-7.64285714285715
154,-16.3714285714286,12.8,6.4,-0.671428571428569,-7.47142857142857
155,-17.3,7.2,10.4,-3.92857142857143,-8.21428571428571
156,-16.4714285714286,6.13333333333333,11.9,-2.45714285714285,-8.38571428571429
157,-16.2428571428571,5.06666666666667,13.4,-1.6,-6.7
158,-14.8857142857143,4,13.85,-0.557142857142857,-7.14285714285714
159,-15.6285714285714,4.5,14.3,1.51428571428571,-6.67142857142857
160,-14.8428571428571,5,14.75,2.08571428571429,-6.11428571428571
161,-15.6142857142857,5.13333333333333,15.2,1.12857142857143,-4.92857142857143
162,-15.7,5.26666666666667,15.5,0.414285714285716,-6.45714285714286
163,-16.75,5.4,15.8,0.857142857142858,-8.37142857142857
164,,4.86666666666667,15.4,-0.0142857142857135,-8.22857142857143
165,,4.33333333333333,15.8,0.271428571428573,-5.91428571428572
166,,3.8,16.2,0.7,-2.58571428571429
167,,1.6,16.6,1.54285714285714,-4.21428571428571
168,,0.9,17,0.285714285714284,-5.82857142857143
169,,0.2,16.6,0.271428571428572,-5.11428571428571
170,,-0.6,16.2,0.442857142857142,-6.68571428571429
171,,-1.4,16.5,0.028571428571429,-6.21428571428571
172,,-2,16.8,-0.500000000000001,-6.1
173,,-1.3,17.2666666666667,0.557142857142857,-5.95714285714286
174,,-0.6,17.7333333333333,0.742857142857146,-9.67142857142857
175,,-0.5,18.2,0.142857142857142,-10.1285714285714
176,,-0.4,18.6,0.385714285714286,-11.8142857142857
177,,0.1,19,-0.842857142857144,-12.5142857142857
178,,0.6,19.4,0.0714285714285714,-12.5
179,,0.8,17.8,0.342857142857142,-14.3857142857143
180,,1,18.0666666666667,-0.77142857142857,-14.3857142857143
181,,1.2,18.3333333333333,-1.48571428571429,-14.5142857142857
182,,2.8,18.6,-0.871428571428571,-14.2
183,,3.3,19.6,-0.685714285714284,-13.5857142857143
184,,3.8,20.2,-0.557142857142857,-11.0285714285714
185,,6,20.8,-0.371428571428572,-11.6
186,,5.7,21.4,-0.314285714285713,-11.1714285714286
187,,5.4,23,-0.499999999999999,-10.5714285714286
