,id,chart_type,title,subtitle,notes,complex,x_axis_type,y_axis_type,x_axis_min,x_axis_max,y_axis_min,y_axis_max,chart_type_id
80,022a672b3f9fa2b1be4ea3c48ad72ca1,Line,BIP pro Kopf (kaufkraftbereinigt), In $,,True,numeric,numeric,2004,2018,15161.62,23679.4,1
81,0313da61de86779a1c0b46f57123b67d,Bar,Wunsch und Wirklichkeit decken sich bei der Betreuung von Kleinkindern nicht,"Wie sich Franzosen die Betreuung ihrer Kinder unter 3 Jahren wünschen – und wie sie es tatsächlich machen, in Prozent",,True,categorical,numeric,,,2.0,56.0,0
82,0313da61de86779a1c0b46f571670e55,StackedBar,Der am häufigsten gejagte Rabenvogel ist die Krähe,Jährliche Abschüsse der drei wichtigsten Arten von Rabenvögeln im Kanton Zürich,,True,numeric,numeric,2013,2022,2.0,2409.0,2
83,0313da61de86779a1c0b46f57186449c,Bar,Wirtschaftlich gesehen sind die Bauern in Deutschland und der Schweiz eher unwichtig,"Anteil des Primärsektors (Landwirtschaft) an der Gesamtwirtschaft in der EU und Efta-Ländern, provisorische Zahlen 2022, in Prozent",,True,categorical,numeric,,,0.3,21.1,0
84,0313da61de86779a1c0b46f5718cc1d1,Bar,Wenn Männer Frauen töten,"Beschuldigte und Opfer von vollendeten Tötungsdelikten im Kontext häuslicher Gewalt 2009–2023, nach Geschlecht",,True,categorical,numeric,,,68.0,299.0,0
85,0313da61de86779a1c0b46f5718df868,Line,"Gewalt gegen Frauen, bis zum Tod: ein ungelöstes Problem","Opfer von vollendeten Tötungsdelikten im Kontext häuslicher Gewalt, nach Geschlecht",,True,numeric,numeric,2009,2022,0.0,22.0,1
86,0313da61de86779a1c0b46f571911ad6,Line,Das Vertrauen der Schweiz in die Wirtschaft sinkt,"Durchschnittliche Haltung der Befragten zur Wirtschaftsfreiheit (1 = mehr staatliche Kontrolle, 6 = mehr Wettbewerb)",,True,numeric,numeric,1996,2021,2.83011598506271,5.07079646017699,1
87,03f2af7351af180c2844811ac230d89b,Bar,The war in Ukraine claims the most victims,Number of deaths in violent conflicts since January 2023,"Source: Acled</br>Data as of Jan. 12, 2024",False,categorical,numeric,,,1242.0,31407.0,0
88,03f2af7351af180c2844811ac231b007,Line,Ziemlich stabile Lohnverteilung,"Verhältnisse zwischen Hoch- und Tieflöhnen in der Schweiz, 2006 bis 2022","Lesebeispiel: Der Hochlohn 1 (jenes Niveau, welches 90% der Lohnempfänger unterschreiten) war im Jahr 2022 etwa 2,71-mal so hoch wie der Tieflohn 1 (jenes Niveau, welches 10% der Lohnempfänger unterschreiten).",True,numeric,numeric,2006,2022,1.88,2.92,1
89,03f2af7351af180c2844811ac23877c3,Bar,Die Finanzierer der Greater Zurich Area,Auswahl der wichtigsten Beitragszahler für das Jahr 2023,,False,categorical,numeric,,,30000.0,1885974.0,0
90,07d00172c0f2b9dd3facaed88507ce79,Line,Eheschliessungen und Geburten sind in Polen seit der Wende rückläufig,In Tausend,,True,numeric,numeric,1990,2022,156.0,548.0,1
91,07d00172c0f2b9dd3facaed88589fd27,Bar,Japan auf dem Weg zum Einwanderungsland,Ausländische Bevölkerung,,False,numeric,numeric,2012,2023,2033656.0,3410992.0,0
92,07d00172c0f2b9dd3facaed8858c95c6,Bar,Einkommen von IT-Ingenieuren im globalen Vergleich (in US-Dollar),,,False,categorical,numeric,,,36061.0,102839.0,0
93,07d00172c0f2b9dd3facaed8858f0093,Arrow,China exportiert mehr Hightech und weniger Kleidung,"Die wichtigsten chinesischen Exportprodukte im Jahr 2022, Anteile am Gesamtexportwert in Prozent (zum Vergleich 1995)",,True,categorical,numeric,,,1.807879829816904,46.2,4
94,07d00172c0f2b9dd3facaed88597c76e,Bar,Nur Apple und Microsoft sind wertvoller als Nvidia,Börsenkapitalisierung in Milliarden Dollar,,False,categorical,numeric,,,584.0,3190.0,0
95,07d00172c0f2b9dd3facaed88599fe8e,Line,Die Nvidia-Aktien dürften dank starken Zahlen neuen Schwung kriegen,Aktienkurs in Dollar,,False,categorical,numeric,23.05.2022,23.05.2024,112.27,1038.0,1
